"tra_num_decil","rub_id_rubro","tra_mto_tramo_min","tra_mto_tramo_max"
0,2,3.000,65.000
1,2,65.000,84.000
2,2,84.000,96.000
3,2,96.000,108.000
4,2,108.000,122.000
5,2,122.000,134.000
6,2,134.000,159.000
7,2,159.000,193.000
8,2,193.000,327.000
9,2,327.000,3.120.000
0,3,193.000,193.000
1,3,193.000,254.000
2,3,254.000,259.000
3,3,259.000,285.000
5,3,285.000,306.000
6,3,306.000,402.000
7,3,402.000,548.000
8,3,548.000,657.000
0,4,3.000,16.000
1,4,16.000,24.000
2,4,24.000,30.000
3,4,30.000,33.000
4,4,33.000,47.000
5,4,47.000,59.000
6,4,59.000,68.000
7,4,68.000,133.000
8,4,133.000,193.000
9,4,193.000,1.164.000
0,5,30.000,95.000
1,5,95.000,161.000
2,5,161.000,233.000
3,5,233.000,281.000
4,5,281.000,317.000
5,5,317.000,422.000
6,5,422.000,490.000
7,5,490.000,572.000
8,5,572.000,732.000
9,5,732.000,1.877.000
0,6,1.000,87.000
1,6,87.000,121.000
2,6,121.000,174.000
3,6,174.000,263.000
4,6,263.000,340.000
5,6,340.000,428.000
6,6,428.000,552.000
7,6,552.000,756.000
8,6,756.000,1.321.000
9,6,1.321.000,5.967.000
0,7,43.000,59.000
1,7,59.000,69.000
2,7,69.000,86.000
3,7,86.000,105.000
4,7,105.000,120.000
5,7,120.000,176.000
6,7,176.000,221.000
7,7,221.000,284.000
8,7,284.000,365.000
9,7,365.000,1.309.000
0,8,22.000,79.000
1,8,79.000,99.000
2,8,99.000,133.000
3,8,133.000,143.000
4,8,143.000,152.000
5,8,152.000,179.000
6,8,179.000,206.000
7,8,206.000,234.000
8,8,234.000,264.000
9,8,264.000,3.275.000
0,9,21.000,22.000
1,9,22.000,158.000
2,9,158.000,350.000
3,9,350.000,634.000
4,9,634.000,935.000
5,9,935.000,981.000
6,9,981.000,1.606.000
7,9,1.606.000,1.800.000
8,9,1.800.000,2.593.000
9,9,2.593.000,3.279.000
0,10,215.000,215.000
2,10,215.000,217.000
